id;country;name;state;license;start;jhi_end;email;phone;address;billing_phone;billing_email;billing_address;vatin
1;Gabon;evolve benchmark;ACTIVE;Global Borders;2023-01-02T04:28:05;2023-01-01T16:52:58;Jarred_Rice@gmail.com;(722) 399-7722;reboot invoice;Analyst schemas Electronics;Research Automotive explicit;Steel JBOD Greece;Rubber Central standardization
2;Pitcairn Islands;SCSI;CLOSE;withdrawal;2023-01-02T10:29:37;2023-01-01T20:42:07;Kamren.Prosacco86@gmail.com;661.251.5945;monetize;compressing virtual;Grass-roots;Shoes Investment Extensions;Car
3;Hungary;copying;ACTIVE;THX Account definition;2023-01-02T08:34:07;2023-01-02T09:43:38;Abdullah.Rolfson@yahoo.com;451.450.3083;Solomon Grass-roots monitor;Seamless withdrawal;Card Central solution;AGP viral;unleash Buckinghamshire
4;Bouvet Island (Bouvetoya);synthesize bypassing;CLOSE;regional even-keeled;2023-01-02T03:21:17;2023-01-02T04:14:17;Gudrun96@hotmail.com;1-934-520-5102;Buckinghamshire navigate;Avon;Awesome Refined Personal;network Soap invoice;Riel Shoes Dale
5;Haiti;wireless;CREATED;Chips;2023-01-02T11:06:24;2023-01-01T18:20:16;Augustus27@yahoo.com;440.662.2764 x8561;Internal Granite;purple red;Focused;Row Fantastic Object-based;Operations
6;Turks and Caicos Islands;Towels portals;CLOSE;success Cotton Rubber;2023-01-02T06:38:04;2023-01-02T01:11:44;Evangeline72@hotmail.com;682.948.5478 x502;National Ergonomic Integrated;bypassing ROI;Intranet Iowa;transmitting driver generating;Bedfordshire methodologies Spain
7;Lebanon;quantifying Sandwich hardware;CREATED;Generic Metal;2023-01-01T18:04:59;2023-01-01T17:45:31;Earnest_Jacobi47@yahoo.com;979-491-5514 x515;Delaware Cyprus Idaho;tolerance non-volatile;RAM Naira Account;Account bypassing;Account
8;Timor-Leste;ROI;ACTIVE;Fresh;2023-01-02T04:12:52;2023-01-01T18:55:30;Stuart_Rogahn@yahoo.com;(533) 382-2959;Oval Producer matrix;Outdoors Ruble;Optional;Regional cultivate;Michigan
9;Bosnia and Herzegovina;array application Mouse;ACTIVE;Tasty;2023-01-02T00:15:18;2023-01-02T01:55:17;Greyson_Wilkinson60@yahoo.com;1-439-927-3341;Rustic;optimal revolutionary Wooden;Open-architected networks;Steel auxiliary;feed
10;Mayotte;Pines;ACTIVE;Wisconsin Oklahoma;2023-01-02T04:14:54;2023-01-02T09:18:30;Queen55@gmail.com;(348) 352-0272;bandwidth;Computer fuchsia parse;Micronesia;deposit Re-contextualized;Self-enabling
